Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Lies of P,Magnífic,8.1,PC,Round8 Studi,Rol,1,2023,0.0
The Plucky Squi,Magnífic,9.3,PC,All Possible Futu,Acció,1,2023,0.0
A Plague Tale: Requi,Magnífic,8.9,PC,Asobo Studi,Acció,1,18 de octubre de 2022,0.0
Wonderboy: The Dragon's Trap,Magnífic,8.1,PC,Lizardcub,Acció,1,8 de junio de 2017,0.0
Alone in the Dark (2022),Magnífic,0.0,PC,Pieces Interactiv,Acció,1,2023,0.0
Forza Horizon 5,Magnífic,9.7,PC,Playground Gam,Conducció,1-12,9 de noviembre de 2021,99.99
Bibots,Magnífic,0.0,PC,Square Squi,Acció,1,Por determinar en Españ,0.0
Starfield,Magnífic,8.5,PC,Bethesda Softwork,Rol,,2023,49.95
King Arthur: Knight's Tal,Magnífic,7.4,PC,Neoc,Rol,1-8,26 de abril de 2022,0.0
Marvel's Midnight Suns,Magnífic,6.2,PC,Firaxis Gam,Rol,1,Por determinar en España,0.0
Unrailed!,Magnífic,0.0,PC,Indoor Astronaut,Acció,1-4,23 de septiembre de 2020,0.0
Call of Duty: Vanguard,Magnífic,6.5,PC,Sledgehammer Gam,Acció,1-48,5 de noviembre de 2021,0.0
Outer Wilds,Magnífic,8.4,PC,Mobius Digit,Aventura,1,30 de mayo de 2019,0.0
ightingal,Magnífic,5.9,PC,Inflexion Gam,Acció,,2023,0.0
BA 2K23,Magnífic,1.0,PC,Visual Concept,Deportes,,9 de septiembre de 2022,0.0
Grand Theft Auto VI,Magnífic,8.8,PC,RockStar Gam,Acció,,Por determinar en Españ,0.0
Silent Hunter 3,Magnífic,8.2,PC,UbiSoft,Simulació,,29 de marzo de 2005,0.0
Lovecraft's Untold Stories 2,Excelente,0.0,PC,LLC Blini Gam,Rol,1,13 de septiembre de 2022,0.0
FIFA 22: Ultimate Tea,Excelente,5.8,PC,EA Sport,Deportes,Competitivo:,1 de octubre de 2021,0.0
The Callisto Protocol,Excelente,9.0,PC,Striking Distance Studi,Acció,,2 de diciembre de 2022,0.0
Snorms,Excelente,5.7,PC,Gunstar Studi,Acció,,Por determinar en Españ,0.0
Oxenfree 2: Lost Signals,Excelente,9.0,PC,Night School Studi,Aventura,1,4º trimestre de 2022,0.0
Evil West,Excelente,8.7,PC,Flying Wild Hog,Acció,1-2,22 de noviembre de 2022,0.0
Tunic,Excelente,7.3,PC,Andrew Shouldic,Acció,1,16 de marzo de 2022,0.0
Commandos 3 - HD Remast,Excelente,8.0,PC,Raylight Gam,Estrategia,1-8,30 de agosto de 2022,0.0
Company of Heroes 3,Excelente,7.8,PC,Relic,Estrategia,Competitivo:,17 de noviembre de 2022,0.0
Dying Light,Excelente,9.4,PC,Techlan,Acció,1-4,27 de enero de 2015,26.95
Disney Speedst,Excelente,9.4,PC,Gameloft,Conducció,1-8,3º trimestre de 2022,0.0
PES 2022,Excelente,3.0,PC,Konami,Deportes,1-4,30 de septiembre de 2021,0.0
Anger Foot,Excelente,0.0,PC,Free Liv,Acció,1,2023,0.0
Bit.Trip Beat,Excelente,0.0,PC,Gaijin,Otros,1-4,2 de noviembre de 2010,0.0
Elite: Dangerous,Excelente,8.0,PC,Frontier Development,Acció,Masivo,16 de diciembre de 2014,0.0
The Outer Worlds,Excelente,8.3,PC,Obsidian,Rol,1,25 de octubre de 2019,0.0
Postal 2,Excelente,9.2,PC,Running With Sci,Acció,1,13 de abril de 2003,0.0
Dragon Ball: The Breakers,Excelente,5.8,PC,imps Corporation,Acción,1-8,14 de octubre de 2022,0.0
Your Doodles are Bugged!,Excelente,6.0,PC,Blitz 1UP,Otros,1,25 de abril de 2011,0.0
Flashback,Excelente,9.7,PC,phine Softw,Acció,,24 de septiembre de 1993,0.0
Supraland,Excelente,0.0,PC,Supra Gam,Acció,1,5 de octubre de 2019,0.0
EverQuest: Underfoot,Excelente,6.1,PC,Verant Interactiv,Rol,Masivo,24 de noviembre de 2009,0.0
Cook Serve Delicious! 3?!,Excelente,7.0,PC,Vertigo Gaming Inc.,Estrategia,1-2,14 de octubre de 2020,0.0
Dead by Daylight,Excelente,8.5,PC,Behaviour Interactiv,Acció,"""Jugadores:1-5",14 de junio de 2016,0.0
Dune: Spice Wars,Excelente,8.4,PC,Shiro Gam,Estrategia,1,26 de abril de 2022Juego con acceso anticipad,0.0
Vektropolis,Excelente,9.8,PC,k Computer Entertainment,Acció,,21 de diciembre de 2012,0.0
Star Citizen,Excelente,9.3,PC,Cloud Imperium Gam,Simulació,,Por determinar en Españ,0.0
The DioField Chronicl,Excelente,6.5,PC,Square Enix,Rol,1,22 de septiembre de 2022,0.0
Bust-n-Rush,Excelente,0.0,PC,Techtonic Gam,Acció,,Por determinar en Españ,0.0
Moving Out,Excelente,8.5,PC,vm Gam,Acción,1-4,28 de abril de 2020,34.95
Steelrising,Excelente,9.7,PC,Spi,Rol,,8 de septiembre de 2022,44.95
Insanely Twisted Shadow Planet,Excelente,9.7,PC,Fuel C,Acció,1-4,2012,0.0
1001 Spikes,Excelente,7.5,PC,Nicali,Acció,,3 de junio de 2014,0.0
Karateka,Excelente,7.0,PC,Liquid Entertainment,Acció,,13 de diciembre de 2012,0.0
araka: Bladepoint,Excelente,8.0,PC,24 Entertainment,Acción,1-60,12 de agosto de 2021,0.0
Who is that flying?,Excelente,6.2,PC,Mediatonic,Acció,,31 de enero de 2011,0.0
Exoprimal,Excelente,1.0,PC,Capcom,Acció,,2023,0.0
Plain Sight,Excelente,6.5,PC,Beatnik Gam,Acció,,22 de marzo de 2010,0.0
AZMD! Scorepocalyps,Excelente,5.5,PC,ublesix,Acció,,16 de abril de 2012,0.0
Fallout 4,Excelente,9.2,PC,Bethesda Softwork,Rol,1,10 de noviembre de 2015,14.99
McPixel,Excelente,5.7,PC,Sos Mikolaj Kaminski,Acció,,20 de julio de 2012,0.0
Borderlands 2: La Mecanomant,Excelente,9.7,PC,Gearbox,Acció,1-4,9 de octubre de 2012,0.0
ATI,Excelente,8.5,PC,ATI,Otros,,Por determinar en Españ,0.0
PAC-MAN WORLD Re-PAC,Excelente,0.0,PC,Now Production,Acció,1,26 de agosto de 2022,0.0
Frobot,Excelente,6.7,PC,Fugaz,Otros,1-4,2010,0.0
DOT Space H,Excelente,9.2,PC,Gunstar Studi,Acció,1,Por determinar en España,0.0
Marvel's Guardianes de la Galaxia,Excelente,8.7,PC,Eidos Mont,Acció,1,26 de octubre de 2021,26.95
Mevo & the Grooveriders,Excelente,3.8,PC,Red Rocket Gam,Otros,,2009,0.0
Harold,Excelente,6.0,PC,Moon Spider Studi,Acció,,2013,0.0
Madballs in Babo: Invasion,Excelente,7.8,PC,headgam,Acció,1-16,2009,0.0
South of the Circl,Excelente,1.0,PC,State of Play,Aventura,1,3 de agosto de 2022,0.0
Tempest Rising,Excelente,0.0,PC,Slipgate Ironwork,Estrategia,,2023,0.0
Monster of Puppets,Excelente,9.0,PC,kkar Dev,Acció,,Por determinar en Españ,0.0
Dragon Age II,Excelente,7.1,PC,BioW,Rol,1,10 de marzo de 2011,9.99
PAC-MAN Museu,Excelente,8.7,PC,Bandai Namc,Otros,,26 de febrero de 2014,0.0
Hood: Outlaws and Legends,Excelente,5.8,PC,Sumo Digit,Acció,1,10 de mayo de 2021,0.0
Red Dead Redemption 2,Excelente,8.8,PC,RockStar Gam,Acció,1,5 de noviembre de 2019,59.99
Tannenberg,Excelente,7.4,PC,BlackMill Gam,Acció,,13 de febrero de 2019,0.0
Invisigun Heroes,Excelente,9.0,PC,Sombr Studi,Acció,1-4,8 de febrero de 2017,0.0
Energy Hook,Excelente,2.0,PC,Happion Lab,Acció,1,2º cuarto de 2016,0.0
Sayonara UmiharaKawas,Excelente,6.3,PC,Agatsuma Entertainment,Acció,1,16 de octubre de 2015,0.0
JamParty : Remixed,Excelente,0.0,PC,Zivix,Otros,,Por determinar en Españ,0.0
Eets Munchies,Excelente,3.0,PC,Klei Entertainment,Otros,1,6 de marzo de 2014,0.0
Turbo Golf Racing,Excelente,0.0,PC,Hugecalf Studi,Deportes,1-8,4 de agosto de 2022,0.0
