Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Smach Z,Notable,6.3,PC,SMACH Team,Otros,,4º trimestre de 2018,0.0
MURI,Notable,6.0,PC,Ludosity,Acció,,Por determinar en Españ,0.0
Catacomb Kids,Notable,4.5,PC,FourBitFriday,Rol,1-2,Por determinar en Españ,0.0
A City Sleeps,Notable,8.5,PC,Harmonix Music,Acció,1,16 de octubre de 2014,0.0
Project Awakened,Notable,9.8,PC,Phosphor Games Studi,Acció,,Por determinar en Españ,0.0
Spider: Rite of the Shrouded Moon,Notable,9.0,PC,Tiger Sty,Aventura,1,6 de agosto de 2015,0.0
Lethis - Daring Discoverers,Notable,1.0,PC,Triskell Interactiv,Aventura,1,8 de junio de 2017,0.0
Champions Online: Revelation,Notable,6.5,PC,Cryptic Studi,Rol,,2010,0.0
Polygod,Notable,7.0,PC,Amplify Gam,Acció,1-16,1º trimestre de 2017,0.0
Bacon Man,Notable,3.7,PC,Skymap Gam,Acció,,Por determinar en Españ,0.0
ReRoll,Notable,8.5,PC,Pixyu,Acció,,Cancelad,0.0
Squarefac,Notable,8.0,PC,Van Cub,Rol,1,12 de septiembre de 2016,0.0
Contract,Notable,6.5,PC,"""Desarrollador:S Houben ",Acció,1,5 de enero de 2016,0.0
ANO,Notable,9.4,PC,Robot Entertainment,Acció,,Por determinar en Españ,0.0
Ruin of the Reckless,Notable,0.0,PC,Faux Operativ,Acció,1-2,26 de abril de 2017,0.0
Line of Defens,Notable,8.0,PC,"""Desarrollador:3000A",Rol,,Por determinar en Españ,0.0
Lost in Harmony,Notable,8.3,PC,igixArt,Acció,1,21 de junio de 2018,0.0
Freedom Planet,Notable,9.6,PC,GalaxyTrai,Acció,1,21 de julio de 2014,0.0
Seclusion,Notable,0.0,PC,Alexander Benedict,Aventura,1,10 de febrero de 2017,0.0
kuia,Notable,7.0,PC,Blue Gat,Acció,1,10 de octubre de 2016,0.0
Incredible Mandy,Notable,0.0,PC,toyou Gam,Acció,1,4º trimestre de 2018,0.0
Sphira: Warrior's Dawn,Notable,9.0,PC,GameForg,Rol,,Por determinar en Españ,0.0
Overdosed - A Trip To Hell,Notable,6.0,PC,Lazy Games Studi,Acció,1,23 de mayo de 2016,0.0
GiAnt,Notable,6.8,PC,Wreck Tangle Gam,Acció,1,20 de mayo de 2016,0.0
Isbarah,Notable,4.2,PC,Leikir Studi,Acció,1,25 de febrero de 2015,0.0
Lost Spirits of Kael,Notable,9.5,PC,Rablo Gam,Acció,1,Por determinar en Españ,0.0
Proto Raid,Notable,6.0,PC,Puzzle Lab,Acció,1,12 de marzo de 2015,0.0
Chicku,Notable,7.0,PC,Gatling Goat Studi,Acció,1-4,Por determinar en Españ,0.0
Little Briar Ros,Notable,8.0,PC,Elf Games Work,Aventura,1,2 de diciembre de 2016,0.0
The Silver Lining: Episode 4,Notable,9.0,PC,Phoenix Onlin,Aventura,,6 de noviembre de 2011,0.0
Hollow Knight: Silksong,Notable,9.6,PC,Team Cherry,Acció,1,Por determinar en Españ,0.0
Outriders: Worldslay,Notable,7.1,PC,People Can Fly,Acció,1-3,30 de junio de 2022,0.0
Spaera,Notable,9.0,PC,Blazing Orb,Otros,1-2,14 de septiembre de 2016,0.0
EverQuest II: Kingdom of Sky,Notable,6.5,PC,Sony,Rol,,1 de marzo de 2006,0.0
The Silver Lining - Episode 3,Notable,8.2,PC,Phoenix Online Studi,Aventura,1,17 de febrero de 2011,0.0
Doctor Wh,Notable,7.3,PC,Sumo Digit,Aventura,,2010,0.0
Wand Wars,Notable,8.0,PC,Moonradish,Acció,1-4,13 de abril de 2016,0.0
Droid Assault,Notable,8.0,PC,Puppygam,Acció,1,9 de enero de 2013,0.0
Project Redli,Notable,7.9,PC,Starbreez,Acció,,Por determinar en Españ,0.0
Johnny Graves—The Unchosen On,Notable,0.0,PC,Stupid Stupid Gam,Rol,1,Por determinar en Españ,0.0
Chronicles of Teddy,Notable,0.0,PC,Storybird Gam,Acció,,31 de marzo de 2016,0.0
RockZombi,Notable,7.3,PC,EnjoyUP,Acció,,2014,0.0
Friends: The One With All The Trivia,Notable,6.9,PC,Artech Studi,Otros,,12 de diciembre de 2005,0.0
FrightShow Fight,Notable,5.0,PC,3 Fright,Acció,1-2,28 de octubre de 2016,0.0
Heat Signatu,Notable,9.0,PC,Tom Franci,Rol,1,2015,0.0
Arena H,Notable,0.0,PC,Kats Gaming,Rol,1,6 de enero de 2017,0.0
Omerta 3.0,Notable,5.4,PC,Omerta Game Lt,Acció,,Por determinar en Españ,0.0
Young Conk,Notable,9.0,PC,Microsoft,Aventura,,Por determinar en España,0.0
Kai,Notable,3.3,PC,Richard Perrin,Aventura,1,24 de abril de 2013,0.0
Rush Bros.,Notable,6.6,PC,XYLA Entertainment,Acció,1-2,24 de mayo de 2013,0.0
Ghost Song: A Journey of Hop,Notable,6.3,PC,Gunstar Studi,Acció,,Mayo de 2014,0.0
Luxuria Superbia,Notable,8.5,PC,Tale of T,Acció,1,5 de noviembre de 2013,0.0
Barbaric,Notable,0.0,PC,Ignited Artist,Acció,1-4,Por determinar en Españ,0.0
Dhaila's Adventures,Notable,6.7,PC,Wild Games Studi,Rol,,Por determinar en Españ,0.0
Legendary Champions,Notable,9.7,PC,User Joy Technology,Rol,Masivo,Por determinar en Españ,0.0
Old School RPG,Notable,8.5,PC,Loot Drop,Rol,,Por determinar en Españ,0.0
Summer Sal,Notable,0.0,PC,uctape Studi,Otros,1,2 de junio de 2016,0.0
Soulfra,Notable,9.0,PC,igital Extrem,Acció,1,Por determinar en Españ,0.0
RefRain -prism memories-,Notable,0.0,PC,RebRank,Acció,1,12 de mayo de 2016,0.0
Daymare 1994,Notable,8.4,PC,Invader Studi,Acció,1,2022,0.0
Exteria,Notable,2.0,PC,Mysteria Studi,Acció,1,26 de octubre de 2016,0.0
Martial Empires,Notable,9.9,PC,Robot Entertainment,Rol,Masivo,Por determinar en Españ,0.0
Bamboo EP,Notable,7.0,PC,Sokpop Collectiv,Acció,,15 de diciembre de 2016,0.0
2 Days to Vegas,Notable,9.0,PC,Steel Monkey,Acció,,Por determinar en Españ,0.0
TinyKeep,Notable,8.2,PC,Phigam,Acció,1,29 de septiembre de 2014,0.0
Iron Fisticl,Notable,8.0,PC,Confused Pelican,Acció,1-2,16 de septiembre de 2014,0.0
Hive Jump,Notable,0.0,PC,Graphite Lab,Acció,,1º trimestre de 2016,0.0
HassleHeart,Notable,9.0,PC,Santa Clara Gam,Acció,1,19 de febrero de 2015,0.0
Paperbound,Notable,6.4,PC,issident Logic,Acció,,Por determinar en Españ,0.0
Sam & Max : Episode 303,Notable,6.0,PC,Telltale Gam,Aventura,,22 de junio de 2010,0.0
Platypus,Notable,6.4,PC,Robot Entertainment,Acció,,Por determinar en Españ,0.0
Puzzle Kingd,Notable,5.7,PC,Infinite Interactiv,Otros,,3º cuarto de 2008,0.0
Videoball,Notable,1.0,PC,Action Button,Otros,1,12 de julio de 2016,0.0
They Bleed Pixels,Notable,9.9,PC,Spooky Squi,Acció,,Agosto de 2011,0.0
Jade Dynasty: Legacy,Notable,8.3,PC,Perfect W,Rol,Masivo,Por determinar en Españ,0.0
The Exiled,Notable,0.0,PC,Fairytale Distillery,Rol,Multijugador,Por determinar en Españ,0.0
Legi,Notable,5.5,PC,Sudokop,Rol,,Por determinar en Españ,0.0
Heroes,Notable,6.8,PC,UbiSoft,Acció,,Cancelad,0.0
Kyoto Wild,Notable,8.0,PC,Teddy Diefenbach,Acció,1-4,Por determinar en Españ,0.0
Insectoid,Notable,5.4,PC,Robot Entertainment,Acció,,Noviembre de 2009,0.0
Brico Party,Notable,6.0,PC,Freedom Factory Studi,Otros,,15 de marzo de 2010,0.0
Lumini,Notable,5.5,PC,Speelb,Otros,1,3 de septiembre de 2015,0.0
Wiz,Notable,9.7,PC,Tribute Gam,Rol,1,14 de marzo de 2012,0.0
Blood Magic: Time of Shadows,Notable,5.1,PC,1C,Rol,,2009,0.0
Forsaken Patrol,Notable,5.5,PC,Teyon,Acció,,2010,0.0
Legends of Persia,Notable,8.7,PC,Sourena Game Studi,Rol,,Por determinar en Españ,0.0
Utopia City,Notable,6.6,PC,Parallax Arts Studi,Acció,,2006,0.0
The Stargazers,Notable,6.5,PC,Lupiesoft,Aventura,1,4 de noviembre de 2016,0.0
Combat Zones: Special Forces,Notable,4.2,PC,City Interactiv,Acció,,Por determinar en España,0.0
State Machin,Notable,0.0,PC,Terry Cavanagh,Otros,1,2017,0.0
A Quiver of Crows,Notable,9.0,PC,Sheado.net,Acció,1-2,3º cuarto de 2016,0.0
Destroy All Humans! 2,Notable,9.1,PC,Black Forest Gam,Acció,1-2,30 de agosto de 2022,34.95
TRI: Of Friendship and Madness,Notable,9.2,PC,Rat King Entertainment,Aventura,1,9 de octubre de 2014,0.0
Two Worlds: The Temptation,Notable,6.4,PC,Reality Pump,Rol,,Cancelad,0.0
Cognition: Episode 3,Notable,9.3,PC,Phoenix Onlin,Aventura,1,16 de mayo de 2013,0.0
Broken Sea,Notable,7.7,PC,Neoc,Rol,,Por determinar en Españ,0.0
The Pit: Dog Eat Dog,Notable,7.1,PC,Freedom Factory Studi,Rol,,2011,0.0
Project Rap Rabbit,Notable,8.5,PC,NanaOn-Sh,Otros,,Agosto de 2018,0.0
Quake 3 Team Arena,Notable,9.7,PC,id Softw,Acció,,26 de enero de 2001,0.0
Fists of Fu,Notable,5.9,PC,Outspark,Rol,Masivo,2010,0.0
Heroes of Three Kingd,Notable,4.0,PC,Perfect W,Rol,,21 de julio de 2010,0.0
Riskers,Notable,0.0,PC,ShotX Studi,Acció,1,17 de octubre de 2017,0.0
Lovely Planet,Notable,8.8,PC,Gunstar Studi,Acció,1,31 de julio de 2014,0.0
Hector: Episode 2,Notable,7.7,PC,Straandloop,Aventura,1,25 de agosto de 2011,0.0
Swashbucklers: Blue & Grey,Notable,6.3,PC,Ak,Acció,,Segunda mitad de 2007,0.0
Millenium: A New Hop,Notable,5.6,PC,Aldorlea Gam,Rol,,21 de septiembre de 2009,0.0
 Nom Galaxy,Notable,5.3,PC,Q-Gam,Acció,,23 de julio de 2015,0.0
Bit.Trip.Fat,Notable,8.0,PC,Gaijin,Acció,,12 de julio de 2013,0.0
Abyssal Zon,Notable,7.0,PC,L,Otros,1-2,26 de enero de 2017,0.0
Legends of Daemonica,Notable,7.1,PC,RA Imag,Aventura,,Por determinar en Españ,0.0
Alt-Minds,Notable,9.0,PC,Lexis Numériqu,Aventura,1,9 de noviembre de 2012,0.0
Party of Sin,Notable,9.4,PC,Crankshaft Gam,Acció,1-2,13 de diciembre de 2012,0.0
Sam & Max: Episode 302,Notable,5.2,PC,Telltale Gam,Aventura,1,18 de mayo de 2010,0.0
Hero: 108 Onlin,Notable,7.8,PC,Gamania Digit,Rol,Masivo,2011,0.0
Crysis 2: Decimation,Notable,9.2,PC,Crytek,Acció,1-12,15 de junio de 2011,0.0
Wittard: Nemesis of Ragnarok,Notable,3.7,PC,Robot Entertainment,Aventura,,2010,0.0
Project E:st,Notable,7.5,PC,Polygon Gam,Rol,,Por determinar en Españ,0.0
Laxius Force II: The Queen of Adretana,Notable,5.7,PC,Indinera F,Rol,,Agosto de 2009,0.0
ancy Drew,Notable,6.0,PC,Her Interactiv,Aventura,,Por determinar en Españ,0.0
arco T,Notable,7.1,PC,Keen Gam,Acció,1-2,30 de julio de 2013,0.0
Tribes: Vengeanc,Notable,6.5,PC,Robot Entertainment,Acció,,18 de octubre de 2004,0.0
The Missing,Notable,8.0,PC,White Ow,Acció,,Por determinar en Españ,0.0
Winter Voices Episode 3,Notable,9.7,PC,Beyond the Pi,Rol,,14 de marzo de 2011,0.0
Kaptain Braw,Notable,7.9,PC,Cateia Gam,Aventura,1,20 de enero de 2011,0.0
Paradig,Notable,8.0,PC,Jacob Janerk,Aventura,1,5 de abril de 2017,0.0
Kingdom Heroes,Notable,8.6,PC,Robot Entertainment,Rol,Masivo,2010,0.0
The Shopkeep,Notable,8.0,PC,Verse Publication,Aventura,1,23 de octubre de 2014,0.0
Dystoria,Notable,7.0,PC,Tri-Coastal Gam,Acció,1,21 de febrero de 2017,0.0
The Cat and the Coup,Notable,7.0,PC,Peter Brinson and Kurosh ValaNej,Aventura,1,15 de junio de 2011,0.0
Planets³,Notable,9.4,PC,Cubical Drift,Rol,,Por determinar en Españ,0.0
Hyper Bounce Blast,Notable,0.0,PC,Flump Studi,Acció,1,27 de mayo de 2016,0.0
Zuma’s Reveng,Notable,6.4,PC,PopCap,Otros,1,15 de septiembre de 2009,0.0
Emberwind,Notable,5.6,PC,TimeTrap,Acció,,9 de diciembre de 2009,0.0
Celetania,Notable,5.2,PC,Vulcando Gam,Rol,,1º trimestre de 2009,0.0
Call of Gods,Notable,9.0,PC,Boyojoy Network,Rol,,2011,0.0
Dragon Oath,Notable,5.9,PC,Robot Entertainment,Rol,Masivo,Por determinar en Españ,0.0
Magicka: Marshlands,Notable,8.6,PC,Arrowhead Game Studi,Rol,1-4,26 de mayo de 2011,0.0
.E.O Onlin,Notable,5.6,PC,SONOV,Rol,,Por determinar en Españ,0.0
Lime Odyssey,Notable,7.9,PC,Aeria Games & Entertainment,Rol,,Por determinar en Españ,0.0
Orcs Must Die! 2 - Fire & Wat,Notable,5.0,PC,Robot Entertainment,Acció,1-2,2012,0.0
Dad Quest,Notable,8.5,PC,Sundae Month,Aventura,1,20 de octubre de 2016,0.0
Vive le Roi,Notable,0.0,PC,Sylvain Secci,Acció,1,14 de febrero de 2017,0.0
Ion Assault,Notable,9.4,PC,Black Inc.,Acció,,17 de noviembre de 2010,0.0
vy Soyuz,Notable,8.4,PC,Best Way,Acció,,Por determinar en Españ,0.0
Transformers: Massive Fury Pack,Notable,0.0,PC,High Moon Studi,Acció,1-12,27 de septiembre de 2012,0.0
Last Inua: An Arctic Adventu,Notable,6.3,PC,Glowforth,Otros,1,11 de diciembre de 2014,0.0
Troy Onlin,Notable,9.3,PC,ALT1,Rol,Masivo,2011,0.0
DeathSpank: Thongs of Virtu,Notable,7.4,PC,Hothead Gam,Rol,1-2,14 de diciembre de 2010,0.0
Louisiana: Mystery Cases,Notable,5.3,PC,Infinion,Aventura,,11 de septiembre de 2009,0.0
Hellion,Notable,6.1,PC,Flying Fish Work,Acció,,Por determinar en Españ,0.0
Guns and Robots,Notable,5.2,PC,Masth,Acció,,Por determinar en Españ,0.0
Monopoly Madness,Notable,7.2,PC,"""Desarrollador:Engine Softw",Otros,,9 de diciembre de 2021,0.0
Scoregas,Notable,5.5,PC,Charlie's Gam,Acció,,14 de octubre de 2011,0.0
Lost Orbit,Notable,7.5,PC,PixelNAUTS,Acció,1,12 de mayo de 2015,0.0
Trawl,Notable,0.0,PC,niel Gallagher y Nathan G,Aventura,1,13 de mayo de 2016,0.0
CodeSpells,Notable,0.0,PC,ThoughtSTEM,Acció,,3º trimestre de 2016,0.0
Last Half Darkness: Tomb of Zoji,Notable,7.8,PC,WRF Studi,Aventura,,Por determinar en Españ,0.0
Heist,Notable,6.6,PC,inXile entertainment,Acció,,Cancelado,46.95
Cargo3,Notable,7.9,PC,Vinci Gam,Acció,,4º trimestre de 2012,0.0
Dungeon Defenders: Eternia 1,Notable,7.0,PC,Trendy Entertainment,Acció,1-4,16 de diciembre de 2011,0.0
Knight Onlin,Notable,7.9,PC,MGam,Rol,Masivo,Por determinar en Españ,0.0
Gyromanc,Notable,6.0,PC,Robot Entertainment,Otros,,18 de noviembre de 2009,0.0
Hazen,Notable,6.2,PC,gger Gam,Rol,,Por determinar en Españ,0.0
Outcry,Notable,6.0,PC,Bits Studi,Aventura,,Por determinar en Españ,0.0
Grand Pigeon's Duty,Notable,1.0,PC,WolfgangIs y JoyKojim,Otros,1,30 de junio de 2016,0.0
King’s Quest III Redux,Notable,8.1,PC,AGD Interactiv,Aventura,,23 de febrero de 2011,0.0
Club Lif,Notable,9.0,PC,harker Studi,Aventura,1,13 de abril de 2016,0.0
Quadrant,Notable,7.0,PC,HKFiftyOne Gam,Acció,1,4º trimestre de 2015,0.0
CrimeCraft : BleedOut,Notable,7.6,PC,Vogst,Rol,Masivo,25 de agosto de 2009,0.0
Tentacles: Enter the Mind,Notable,9.5,PC,Press Play,Acció,,Por determinar en Españ,0.0
Section 8: Seek and Destroy,Notable,6.3,PC,TimeGate Studi,Acció,,20 de enero de 2010,0.0
Duke Nukem Forever: Icons Parody,Notable,6.5,PC,Gearbox,Acció,1-8,11 de octubre de 2011,0.0
ED: The New Era of Fantasy,Notable,5.2,PC,Gunstar Studi,Rol,Masivo,2011,0.0
BattleSouls,Apreciable,0.0,PC,Pixeleap,Acció,Multij,12 de mayo de 2016,0.0
Cate West,Apreciable,5.4,PC,Robot Entertainment,Aventura,,2008,0.0
Divina,Apreciable,6.7,PC,Gamania Digit,Rol,Masivo,2012,0.0
Iron Grip: Warlord,Apreciable,6.0,PC,Isotx,Acció,,21 de noviembre de 2008,0.0
Stars of Barathru,Apreciable,9.7,PC,Valv,Acció,,Por determinar en Españ,0.0
Stellar Dawn,Apreciable,8.3,PC,Jagex,Rol,,2011,0.0
itu Love 2,Apreciable,3.0,PC,Konjak,Acció,,2009,0.0
Scarlet Legacy,Apreciable,7.4,PC,GamesCampu,Rol,Masivo,2011,0.0
Gunblade Saga,Apreciable,6.0,PC,Gunstar Studi,Rol,,2012,0.0
Cognition: Episode 2,Apreciable,9.7,PC,Phoenix Onlin,Aventura,1,30 de enero de 2013,0.0
City of Transformers,Apreciable,7.0,PC,tiny Development,Rol,,3º cuarto de 2011,0.0
Saint's Row: The Third – Packag,Apreciable,9.9,PC,Volition,Acció,1-2,9 de noviembre de 2012,0.0
The Tower of Druaga,Apreciable,6.6,PC,Rosso Index,Rol,Masivo,22 de noviembre de 2010,0.0
Bright Shadow,Apreciable,5.0,PC,Gamania Digit,Rol,,11 de noviembre de 2009,0.0
Bulletstorm: Gun Sonata,Apreciable,8.0,PC,People Can Fly,Acció,1-4,20 de mayo de 2011,0.0
The Talos Principle - Road to Gehenna,Apreciable,8.9,PC,Croteam,Otros,1,23 de julio de 2015,0.0
Eekeemoo - Splinters of the Dark Shard,Apreciable,0.0,PC,Cogg Gam,Acció,1,14 de marzo de 2017,0.0
Eternal Blad,Apreciable,9.5,PC,Gala-Net,Rol,,Por determinar en Españ,0.0
Winter Voices Prologu,Apreciable,8.7,PC,Beyond the Pi,Rol,,29 de octubre de 2010,0.0
Avernum 2: Crystal Souls,Apreciable,9.7,PC,Spiderweb Softw,Rol,,2015,0.0
Lov,Apreciable,6.6,PC,Robot Entertainment,Aventura,,25 de marzo de 2010,0.0
Camon H,Apreciable,5.4,PC,Robot Entertainment,Rol,Masivo,Por determinar en Españ,0.0
Valdis Story: Abyssal City,Apreciable,8.7,PC,Endlessfluff,Acció,1,8 de septiembre de 2013,0.0
The I of the Dragon,Apreciable,6.6,PC,Robot Entertainment,Rol,,Por determinar en Españ,0.0
Gooka: Mystery of Janatris,Apreciable,6.5,PC,Robot Entertainment,Aventura,,9 de julio de 2004,0.0
RODE: Rise of Dragonian Era,Apreciable,4.2,PC,MGam,Rol,Masivo,9 de marzo de 2012,0.0
Zomg,Apreciable,6.0,PC,Robot Entertainment,Rol,,Noviembre de 2008,0.0
U-Wars,Apreciable,6.5,PC,BiArt Studi,Acció,,2010,0.0
Sulon Q,Apreciable,0.0,PC,AMD y Sulon,Otros,,2º trimestre de 2016,0.0
Rumble Fight,Apreciable,7.9,PC,Nimonix,Rol,,2009,0.0
Midnight Mysteries,Apreciable,7.5,PC,MumboJumb,Aventura,1,28 de septiembre de 2009,0.0
Boogerman 20th Anniversary,Apreciable,9.8,PC,Toy Ghost,Acció,,Por determinar en Españ,0.0
Lemma,Apreciable,5.8,PC,Evan T,Acció,1,12 de mayo de 2015,0.0
Torchlight MMO,Apreciable,9.4,PC,Runic Gam,Rol,,2013,0.0
DC Universe: The Battle for Earth,Apreciable,9.5,PC,Sony Online Entertainment,Rol,Masivo,2012,0.0
EverQuest: House of Thul,Apreciable,7.4,PC,Sony Online Entertainment,Rol,,12 de octubre de 2010,0.0
TerraWars: New York Invasion,Apreciable,6.5,PC,Ladyluck Digit,Acció,,Agosto de 2006,0.0
System Flaw,Apreciable,7.4,PC,Robot Entertainment,Acció,,2010,0.0
Project Gen,Apreciable,7.0,PC,NeuronHaz,Rol,Masivo,Por determinar en Españ,0.0
Earthris,Apreciable,6.1,PC,Masth,Rol,Masivo,Por determinar en España,0.0
Lucidity,Apreciable,5.8,PC,LucasArt,Acció,1,7 de octubre de 2009,0.0
Hidden Secrets: The Nightma,Apreciable,5.7,PC,Brighter Min,Aventura,,Noviembre de 2009,0.0
Bionic Heart,Apreciable,6.5,PC,Robot Entertainment,Aventura,,Por determinar en Españ,0.0
Hector: Episode 1,Apreciable,7.4,PC,Straandloop,Aventura,1,27 de abril de 2010,0.0
Bayou Island,Apreciable,0.0,PC,Andy Howard Gam,Aventura,1,28 de febrero de 2017,0.0
Dream Chronicles,Apreciable,9.4,PC,Playfirst,Aventura,,12 de agosto de 2009,0.0
Trauma,Apreciable,8.2,PC,Krystian Majewski,Aventura,1,8 de agosto de 2011,0.0
Dreamland Onlin,Apreciable,6.2,PC,IGG,Rol,,Por determinar en Españ,0.0
Elisa: the Innkeep,Apreciable,0.0,PC,Neoclassic Gam,Aventura,1,28 de marzo de 2017,0.0
Arson & Plund,Apreciable,5.0,PC,Headup Gam,Acció,,Por determinar en Españ,0.0
Dragon Knights,Apreciable,8.0,PC,Gunstar Studi,Rol,,Por determinar en Españ,0.0
A Boy and his Bl,Apreciable,6.8,PC,WayForw,Acció,,19 de enero de 2016,0.0
Chaos Cod,Apreciable,0.0,PC,FX Digit,Acció,1-2,15 de marzo de 2017,0.0
ight Watch,Apreciable,6.4,PC,Nival Interactiv,Rol,,2006,0.0
Tree of Savi,Apreciable,9.5,PC,Imc Gam,Rol,,2013,0.0
Merchants of Kaidan,Apreciable,7.0,PC,Forever Entertainment,Aventura,1,Por determinar en Españ,0.0
Morningstar: Descent to Deadrock,Apreciable,7.2,PC,Red Herring,Aventura,1,17 de febrero de 2015,0.0
The Ship HD,Apreciable,8.0,PC,Blazing Griffin Ltd.,Acció,Masivo,31 de octubre de 2016,0.0
Flintlock: The Siege of Dawn,Apreciable,0.0,PC,A44 Gam,Rol,1,2022,0.0
Pet Forest,Apreciable,6.4,PC,Robot Entertainment,Rol,,2010,0.0
Chaos,Apreciable,0.0,PC,MAGES.INC.,Aventura,1,23 de enero de 2019,0.0
Rappelz,Apreciable,6.3,PC,gpotat,Rol,,2 de octubre de 2006,0.0
Wallace & Gromit Episodio 2,Apreciable,4.9,PC,Telltale Gam,Aventura,1,Mayo de 2009,0.0
Arabesqu,Apreciable,5.3,PC,Robot Entertainment,Aventura,,2009,0.0
Hamlet,Apreciable,8.2,PC,nis Galanin (mif2000),Otros,,8 de abril de 2010,0.0
100ft Robot Golf,Apreciable,0.0,PC,No Goblin,Deportes,1-4,16 de marzo de 2017,0.0
Meltdown,Apreciable,7.5,PC,Phenomenon Gam,Acció,,Por determinar en Españ,0.0
The Edge of Twilight - Episodio 1,Apreciable,8.9,PC,Fuzzyeyes Entertainment,Rol,,Diciembre de 2012,0.0
An Octonaut Odyssey,Apreciable,0.0,PC,Octo Studi,Acció,1,4 de marzo de 2017,0.0
Molemen Must Die!,Apreciable,0.0,PC,Mokomot,Acció,1,22 de marzo de 2017,0.0
Dead Sky,Apreciable,7.6,PC,Shorebound Studi,Acció,,Por determinar en Españ,0.0
Dark Shadows: Army of Evil,Apreciable,5.9,PC,Burian Media Enterpri,Rol,1,29 de noviembre de 2012,0.0
Testament of Sin,Apreciable,4.8,PC,City Interactiv,Aventura,,4º trimestre de 2008,0.0
A Rite from the Stars,Apreciable,9.8,PC,Risin Goat,Aventura,1,Por determinar en Españ,0.0
RAN Onlin,Apreciable,4.8,PC,E-Gam,Rol,,2006,0.0
404Sight,Apreciable,6.7,PC,Retro Yeti Gam,Acció,1,16 de abril de 2015,0.0
Super Rad Raygun,Apreciable,8.0,PC,TRU FUN Entertainment,Acció,1,8 de noviembre de 2016,0.0
Rosh Onlin,Apreciable,9.7,PC,Texyon Gam,Rol,Masivo,Por determinar en España,0.0
Block N Load,Apreciable,6.5,PC,Jagex,Acció,Masivo,30 de abril de 2015,0.0
The Endless Mission,Apreciable,5.5,PC,E-Line Medi,Acció,1,3º trimestre de 2018Juego con acceso anticipad,0.0
Whore of the Orient,Apreciable,9.1,PC,KMM Interactiv,Acció,,2015,0.0
Skara: The Blade Remains,Apreciable,9.6,PC,8-Bit Studi,Rol,,Por determinar en Españ,0.0
Human Element,Apreciable,8.8,PC,Robotoki,Acció,,Cancelad,0.0
Back to the Future: Episode 103,Apreciable,8.5,PC,Telltale Gam,Aventura,1,29 de marzo de 2011,0.0
Little Red Riding Hood,Apreciable,9.4,PC,Robot Entertainment,Acció,,Por determinar en Españ,0.0
Refug,Apreciable,9.0,PC,Fox Rog,Acció,,Por determinar en España,0.0
Call for Heroes: Pompolic Wars,Apreciable,6.3,PC,ta Design Interactiv,Rol,,Junio de 2007,0.0
Geon: Emotions,Apreciable,5.8,PC,Strawdog Studi,Otros,1-4,19 de septiembre de 2008,0.0
aissanceE,Apreciable,8.4,PC,Limasse Fiv,Aventura,1,14 de febrero de 2014,0.0
Angry Video Game Nerd,Apreciable,8.8,PC,FreakZone Gam,Acció,1,20 de septiembre de 2013,0.0
Runes of Magic: Chapter V,Apreciable,8.3,PC,Runewak,Rol,Masivo,12 de junio de 2012,0.0
Beatbuddy,Apreciable,7.6,PC,Threak,Acció,,6 de agosto de 2013,0.0
Surgeon Simulator: Anniversary Edition,Apreciable,6.3,PC,Bossa Studi,Otros,1,14 de agosto de 2014,0.0
ORION: Dino Hord,Apreciable,8.0,PC,Spiral Game Studi,Acció,,Por determinar en Españ,0.0
Ancients of Ooga,Apreciable,7.1,PC,NinjaB,Acció,1-2,20 de mayo de 2011,0.0
Saint's Row: The Third - Bloodsuck,Apreciable,9.6,PC,Volition,Acció,,28 de febrero de 2012,0.0
Darksiders II - Demon Lord Belial,Apreciable,9.2,PC,Vigil Gam,Acció,1,4 de diciembre de 2012,0.0
Yar´s Reveng,Apreciable,6.4,PC,KillSpace Entertainment,Acció,1-2,29 de abril de 2011,0.0
AirStrike II: Gulf Thund,Apreciable,6.4,PC,Robot Entertainment,Acció,,Por determinar en Españ,0.0
Journey of a Roach,Apreciable,6.1,PC,Koboldgam,Aventura,1,4 de noviembre de 2013,0.0
Fiesta Onlin,Apreciable,7.1,PC,Ons On Soft,Rol,Masivo,19 de marzo de 2010,0.0
Ragnarok Online 2,Apreciable,8.0,PC,Gravity,Rol,Masivo,2013,0.0
Melancholy Republic,Apreciable,8.0,PC,Cloud Runner Studi,Rol,1,9 de septiembre de 2016,0.0
Saint's Row: Money Shot,Apreciable,7.2,PC,THQ Digital Phoenix,Acció,,13 de febrero de 2012,0.0
Drawn: The Painted Tow,Apreciable,8.4,PC,Big Fish,Aventura,1,20 de enero de 2010,0.0
Free Running,Apreciable,6.6,PC,Rebellion,Deportes,,2009,0.0
Borderlands 2 - Sir Hammerlock,Apreciable,9.5,PC,Gearbox,Acció,1-4,15 de abril de 2014,0.0
Craft of Gods,Apreciable,4.8,PC,Cyberdemon,Rol,Masivo,27 de mayo de 2010,0.0
Lucha Fury,Apreciable,4.6,PC,Punchers Impact,Acció,,2010,0.0
Pro Wrestling X,Apreciable,8.2,PC,Wrestling Gamers Unit,Acció,,2014,0.0
Billy Blade and the Templ,Apreciable,6.2,PC,Iridon Interactiv,Acció,,29 de septiembre de 2005,0.0
