;Nombre;Popularidad;Valoración;Plataforma;Desarrollador;Género;Jugadores;Lanzamiento;Precio
57;Grand Theft Auto V;Magnífica;9.2;PC;RockStar Gam;Acción;1;14 de abril de 2015;49.95
58;Gotham Knights;Magnífica;9.0;PC;Warner Bros. Games Mont;Acción;Cooperativo;25 de octubre de 2022;299.99
59;Master Mind;Magnífica;7.0;PC;THQ;Acción;;2009;0.0
60;Lies of P;Magnífica;8.1;PC;Round8 Studi;Rol;1;2023;0.0
61;The Plucky Squi;Magnífica;9.3;PC;All Possible Futu;Acción;1;2023;0.0
62;A Plague Tale: Requi;Magnífica;8.9;PC;Asobo Studi;Acción;1;18 de octubre de 2022;0.0
63;Wonderboy: The Dragon's Trap;Magnífica;8.1;PC;Lizardcub;Acción;1;8 de junio de 2017;0.0
64;Alone in the Dark (2022);Magnífica;0.0;PC;Pieces Interactiv;Acción;1;2023;0.0
65;Forza Horizon 5;Magnífica;9.7;PC;Playground Gam;Conducción;Masivo;9 de noviembre de 2021;99.99
66;Bibots;Magnífica;0.0;PC;Square Squi;Acción;1;Por determinar en Españ;0.0
67;Starfield;Magnífica;8.5;PC;Bethesda Softwork;Rol;;2023;49.95
68;King Arthur: Knight's Tal;Magnífica;7.4;PC;Neoc;Rol;Masivo;26 de abril de 2022;0.0
69;Marvel's Midnight Suns;Magnífica;6.2;PC;Firaxis Gam;Rol;1;Por determinar en España;0.0
70;Unrailed!;Magnífica;0.0;PC;Indoor Astronaut;Acción;Multijugador;23 de septiembre de 2020;0.0
71;Call of Duty: Vanguard;Magnífica;6.5;PC;Sledgehammer Gam;Acción;Multijugador;5 de noviembre de 2021;0.0
72;Outer Wilds;Magnífica;8.4;PC;Mobius Digit;Aventura;1;30 de mayo de 2019;0.0
73;ightingal;Magnífica;5.9;PC;Inflexion Gam;Acción;;2023;0.0
74;BA 2K23;Magnífica;1.0;PC;Visual Concept;Deportes;;9 de septiembre de 2022;0.0
75;Grand Theft Auto VI;Magnífica;8.8;PC;RockStar Gam;Acción;;Por determinar en Españ;0.0
76;Silent Hunter 3;Magnífica;8.2;PC;UbiSoft;Simulación;;29 de marzo de 2005;0.0
77;Lovecraft's Untold Stories 2;Excelente;0.0;PC;LLC Blini Gam;Rol;1;13 de septiembre de 2022;0.0
78;FIFA 22: Ultimate Tea;Excelente;5.8;PC;EA Sport;Deportes;Competitivo;1 de octubre de 2021;0.0
79;The Callisto Protocol;Excelente;9.0;PC;Striking Distance Studi;Acción;;2 de diciembre de 2022;0.0
80;Snorms;Excelente;5.7;PC;Gunstar Studi;Acción;;Por determinar en Españ;0.0
81;Oxenfree 2: Lost Signals;Excelente;9.0;PC;Night School Studi;Aventura;1;4º trimestre de 2022;0.0
82;Evil West;Excelente;8.7;PC;Flying Wild Hog;Acción;Cooperativo;22 de noviembre de 2022;0.0
83;Tunic;Excelente;7.3;PC;Andrew Shouldic;Acción;1;16 de marzo de 2022;0.0
84;Commandos 3 - HD Remast;Excelente;8.0;PC;Raylight Gam;Estrategia;Masivo;30 de agosto de 2022;0.0
85;Company of Heroes 3;Excelente;7.8;PC;Relic;Estrategia;Competitivo;17 de noviembre de 2022;0.0
86;Dying Light;Excelente;9.4;PC;Techlan;Acción;Multijugador;27 de enero de 2015;26.95
87;Disney Speedst;Excelente;9.4;PC;Gameloft;Conducción;Masivo;3º trimestre de 2022;0.0
88;PES 2022;Excelente;3.0;PC;Konami;Deportes;Multijugador;30 de septiembre de 2021;0.0
89;Anger Foot;Excelente;0.0;PC;Free Liv;Acción;1;2023;0.0
90;Bit.Trip Beat;Excelente;0.0;PC;Gaijin;Otros;Multijugador;2 de noviembre de 2010;0.0
91;Elite: Dangerous;Excelente;8.0;PC;Frontier Development;Acción;Masivo;16 de diciembre de 2014;0.0
92;The Outer Worlds;Excelente;8.3;PC;Obsidian;Rol;1;25 de octubre de 2019;0.0
93;Postal 2;Excelente;9.2;PC;Running With Sci;Acción;1;13 de abril de 2003;0.0
94;Dragon Ball: The Breakers;Excelente;5.8;PC;imps Corporation;Acción;Masivo;14 de octubre de 2022;0.0
95;Your Doodles are Bugged!;Excelente;6.0;PC;Blitz 1UP;Otros;1;25 de abril de 2011;0.0
96;Flashback;Excelente;9.7;PC;phine Softw;Acción;;24 de septiembre de 1993;0.0
97;Supraland;Excelente;0.0;PC;Supra Gam;Acción;1;5 de octubre de 2019;0.0
98;EverQuest: Underfoot;Excelente;6.1;PC;Verant Interactiv;Rol;Masivo;24 de noviembre de 2009;0.0
99;Cook Serve Delicious! 3?!;Excelente;7.0;PC;Vertigo Gaming Inc.;Estrategia;Cooperativo;14 de octubre de 2020;0.0
100;Dead by Daylight;Excelente;8.5;PC;Behaviour Interactiv;Acción;Multijugador;14 de junio de 2016;0.0
101;Dune: Spice Wars;Excelente;8.4;PC;Shiro Gam;Estrategia;1;26 de abril de 2022Juego con acceso anticipad;0.0
102;Vektropolis;Excelente;9.8;PC;k Computer Entertainment;Acción;;21 de diciembre de 2012;0.0
103;Star Citizen;Excelente;9.3;PC;Cloud Imperium Gam;Simulación;;Por determinar en Españ;0.0
104;The DioField Chronicl;Excelente;6.5;PC;Square Enix;Rol;1;22 de septiembre de 2022;0.0
105;Bust-n-Rush;Excelente;0.0;PC;Techtonic Gam;Acción;;Por determinar en Españ;0.0
106;Moving Out;Excelente;8.5;PC;vm Gam;Acción;Multijugador;28 de abril de 2020;34.95
107;Steelrising;Excelente;9.7;PC;Spi;Rol;;8 de septiembre de 2022;44.95
108;Insanely Twisted Shadow Planet;Excelente;9.7;PC;Fuel C;Acción;Multijugador;2012;0.0
109;1001 Spikes;Excelente;7.5;PC;Nicali;Acción;;3 de junio de 2014;0.0
110;Karateka;Excelente;7.0;PC;Liquid Entertainment;Acción;;13 de diciembre de 2012;0.0
111;araka: Bladepoint;Excelente;8.0;PC;24 Entertainment;Acción;Multijugador;12 de agosto de 2021;0.0
112;Who is that flying?;Excelente;6.2;PC;Mediatonic;Acción;;31 de enero de 2011;0.0
113;Exoprimal;Excelente;1.0;PC;Capcom;Acción;;2023;0.0
114;Plain Sight;Excelente;6.5;PC;Beatnik Gam;Acción;;22 de marzo de 2010;0.0
115;AZMD! Scorepocalyps;Excelente;5.5;PC;ublesix;Acción;;16 de abril de 2012;0.0
116;Fallout 4;Excelente;9.2;PC;Bethesda Softwork;Rol;1;10 de noviembre de 2015;14.99
117;McPixel;Excelente;5.7;PC;Sos Mikolaj Kaminski;Acción;;20 de julio de 2012;0.0
118;Borderlands 2: La Mecanomant;Excelente;9.7;PC;Gearbox;Acción;Multijugador;9 de octubre de 2012;0.0
119;ATI;Excelente;8.5;PC;ATI;Otros;;Por determinar en Españ;0.0
120;PAC-MAN WORLD Re-PAC;Excelente;0.0;PC;Now Production;Acción;1;26 de agosto de 2022;0.0
121;Frobot;Excelente;6.7;PC;Fugaz;Otros;Multijugador;2010;0.0
122;DOT Space H;Excelente;9.2;PC;Gunstar Studi;Acción;1;Por determinar en España;0.0
123;Marvel's Guardianes de la Galaxia;Excelente;8.7;PC;Eidos Mont;Acción;1;26 de octubre de 2021;26.95
124;Mevo & the Grooveriders;Excelente;3.8;PC;Red Rocket Gam;Otros;;2009;0.0
125;Harold;Excelente;6.0;PC;Moon Spider Studi;Acción;;2013;0.0
126;Madballs in Babo: Invasion;Excelente;7.8;PC;headgam;Acción;Masivo;2009;0.0
127;South of the Circl;Excelente;1.0;PC;State of Play;Aventura;1;3 de agosto de 2022;0.0
128;Tempest Rising;Excelente;0.0;PC;Slipgate Ironwork;Estrategia;;2023;0.0
129;Monster of Puppets;Excelente;9.0;PC;kkar Dev;Acción;;Por determinar en Españ;0.0
130;Dragon Age II;Excelente;7.1;PC;BioW;Rol;1;10 de marzo de 2011;9.99
131;PAC-MAN Museu;Excelente;8.7;PC;Bandai Namc;Otros;;26 de febrero de 2014;0.0
132;Hood: Outlaws and Legends;Excelente;5.8;PC;Sumo Digit;Acción;1;10 de mayo de 2021;0.0
133;Red Dead Redemption 2;Excelente;8.8;PC;RockStar Gam;Acción;1;5 de noviembre de 2019;59.99
134;Tannenberg;Excelente;7.4;PC;BlackMill Gam;Acción;;13 de febrero de 2019;0.0
135;Invisigun Heroes;Excelente;9.0;PC;Sombr Studi;Acción;Multijugador;8 de febrero de 2017;0.0
136;Energy Hook;Excelente;2.0;PC;Happion Lab;Acción;1;2º cuarto de 2016;0.0
137;Sayonara UmiharaKawas;Excelente;6.3;PC;Agatsuma Entertainment;Acción;1;16 de octubre de 2015;0.0
138;JamParty : Remixed;Excelente;0.0;PC;Zivix;Otros;;Por determinar en Españ;0.0
