;Nombre;Popularidad;Valoración;Plataforma;Desarrollador;Género;Jugadores;Lanzamiento;Precio
567;Casebook: Episode 3;Notable;4.0;PC;Areograph;Aventura;;13 de noviembre de 2009;0.0
568;100 Year Wa;Notable;5.5;PC;Robot Entertainment;Rol;Masivo;Por determinar en Españ;0.0
569;Dead Island 2;Notable;9.2;PC;Sumo Digit;Acción;;Por determinar en España;56.95
570;Stay in the Light;Notable;0.0;PC;Sunside Gam;Acción;1;3 de junio de 2019Juego con acceso anticipad;0.0
571;Smach Z;Notable;6.3;PC;SMACH Team;Otros;;4º trimestre de 2018;0.0
572;MURI;Notable;6.0;PC;Ludosity;Acción;;Por determinar en Españ;0.0
573;Catacomb Kids;Notable;4.5;PC;FourBitFriday;Rol;Cooperativo;Por determinar en Españ;0.0
574;A City Sleeps;Notable;8.5;PC;Harmonix Music;Acción;1;16 de octubre de 2014;0.0
575;Project Awakened;Notable;9.8;PC;Phosphor Games Studi;Acción;;Por determinar en Españ;0.0
576;Spider: Rite of the Shrouded Moon;Notable;9.0;PC;Tiger Sty;Aventura;1;6 de agosto de 2015;0.0
577;Lethis - Daring Discoverers;Notable;1.0;PC;Triskell Interactiv;Aventura;1;8 de junio de 2017;0.0
578;Champions Online: Revelation;Notable;6.5;PC;Cryptic Studi;Rol;;2010;0.0
579;Polygod;Notable;7.0;PC;Amplify Gam;Acción;Masivo;1º trimestre de 2017;0.0
580;Bacon Man;Notable;3.7;PC;Skymap Gam;Acción;;Por determinar en Españ;0.0
581;ReRoll;Notable;8.5;PC;Pixyu;Acción;;Cancelad;0.0
582;Squarefac;Notable;8.0;PC;Van Cub;Rol;1;12 de septiembre de 2016;0.0
583;Contract;Notable;6.5;PC;Desarrollador:S Houben ;Acción;1;5 de enero de 2016;0.0
584;ANO;Notable;9.4;PC;Robot Entertainment;Acción;;Por determinar en Españ;0.0
585;Ruin of the Reckless;Notable;0.0;PC;Faux Operativ;Acción;Cooperativo;26 de abril de 2017;0.0
586;Line of Defens;Notable;8.0;PC;Desarrollador:3000A;Rol;;Por determinar en Españ;0.0
587;Lost in Harmony;Notable;8.3;PC;igixArt;Acción;1;21 de junio de 2018;0.0
588;Freedom Planet;Notable;9.6;PC;GalaxyTrai;Acción;1;21 de julio de 2014;0.0
589;Seclusion;Notable;0.0;PC;Alexander Benedict;Aventura;1;10 de febrero de 2017;0.0
590;kuia;Notable;7.0;PC;Blue Gat;Acción;1;10 de octubre de 2016;0.0
591;Incredible Mandy;Notable;0.0;PC;toyou Gam;Acción;1;4º trimestre de 2018;0.0
592;Sphira: Warrior's Dawn;Notable;9.0;PC;GameForg;Rol;;Por determinar en Españ;0.0
593;Overdosed - A Trip To Hell;Notable;6.0;PC;Lazy Games Studi;Acción;1;23 de mayo de 2016;0.0
594;GiAnt;Notable;6.8;PC;Wreck Tangle Gam;Acción;1;20 de mayo de 2016;0.0
595;Isbarah;Notable;4.2;PC;Leikir Studi;Acción;1;25 de febrero de 2015;0.0
596;Lost Spirits of Kael;Notable;9.5;PC;Rablo Gam;Acción;1;Por determinar en Españ;0.0
597;Proto Raid;Notable;6.0;PC;Puzzle Lab;Acción;1;12 de marzo de 2015;0.0
598;Chicku;Notable;7.0;PC;Gatling Goat Studi;Acción;Multijugador;Por determinar en Españ;0.0
599;Little Briar Ros;Notable;8.0;PC;Elf Games Work;Aventura;1;2 de diciembre de 2016;0.0
600;The Silver Lining: Episode 4;Notable;9.0;PC;Phoenix Onlin;Aventura;;6 de noviembre de 2011;0.0
601;Hollow Knight: Silksong;Notable;9.6;PC;Team Cherry;Acción;1;Por determinar en Españ;0.0
602;Outriders: Worldslay;Notable;7.1;PC;People Can Fly;Acción;Multijugador;30 de junio de 2022;0.0
603;Spaera;Notable;9.0;PC;Blazing Orb;Otros;Cooperativo;14 de septiembre de 2016;0.0
604;EverQuest II: Kingdom of Sky;Notable;6.5;PC;Sony;Rol;;1 de marzo de 2006;0.0
605;The Silver Lining - Episode 3;Notable;8.2;PC;Phoenix Online Studi;Aventura;1;17 de febrero de 2011;0.0
606;Doctor Wh;Notable;7.3;PC;Sumo Digit;Aventura;;2010;0.0
607;Wand Wars;Notable;8.0;PC;Moonradish;Acción;Multijugador;13 de abril de 2016;0.0
608;Droid Assault;Notable;8.0;PC;Puppygam;Acción;1;9 de enero de 2013;0.0
609;Project Redli;Notable;7.9;PC;Starbreez;Acción;;Por determinar en Españ;0.0
610;Johnny Graves—The Unchosen On;Notable;0.0;PC;Stupid Stupid Gam;Rol;1;Por determinar en Españ;0.0
611;Chronicles of Teddy;Notable;0.0;PC;Storybird Gam;Acción;;31 de marzo de 2016;0.0
612;RockZombi;Notable;7.3;PC;EnjoyUP;Acción;;2014;0.0
613;Friends: The One With All The Trivia;Notable;6.9;PC;Artech Studi;Otros;;12 de diciembre de 2005;0.0
614;FrightShow Fight;Notable;5.0;PC;3 Fright;Acción;Cooperativo;28 de octubre de 2016;0.0
615;Heat Signatu;Notable;9.0;PC;Tom Franci;Rol;1;2015;0.0
616;Arena H;Notable;0.0;PC;Kats Gaming;Rol;1;6 de enero de 2017;0.0
617;Omerta 3.0;Notable;5.4;PC;Omerta Game Lt;Acción;;Por determinar en Españ;0.0
618;Young Conk;Notable;9.0;PC;Microsoft;Aventura;;Por determinar en España;0.0
619;Kai;Notable;3.3;PC;Richard Perrin;Aventura;1;24 de abril de 2013;0.0
620;Rush Bros.;Notable;6.6;PC;XYLA Entertainment;Acción;Cooperativo;24 de mayo de 2013;0.0
621;Ghost Song: A Journey of Hop;Notable;6.3;PC;Gunstar Studi;Acción;;Mayo de 2014;0.0
622;Luxuria Superbia;Notable;8.5;PC;Tale of T;Acción;1;5 de noviembre de 2013;0.0
623;Barbaric;Notable;0.0;PC;Ignited Artist;Acción;Multijugador;Por determinar en Españ;0.0
624;Dhaila's Adventures;Notable;6.7;PC;Wild Games Studi;Rol;;Por determinar en Españ;0.0
625;Legendary Champions;Notable;9.7;PC;User Joy Technology;Rol;Masivo;Por determinar en Españ;0.0
626;Old School RPG;Notable;8.5;PC;Loot Drop;Rol;;Por determinar en Españ;0.0
627;Summer Sal;Notable;0.0;PC;uctape Studi;Otros;1;2 de junio de 2016;0.0
628;Soulfra;Notable;9.0;PC;igital Extrem;Acción;1;Por determinar en Españ;0.0
629;RefRain -prism memories-;Notable;0.0;PC;RebRank;Acción;1;12 de mayo de 2016;0.0
630;Daymare 1994;Notable;8.4;PC;Invader Studi;Acción;1;2022;0.0
631;Exteria;Notable;2.0;PC;Mysteria Studi;Acción;1;26 de octubre de 2016;0.0
632;Martial Empires;Notable;9.9;PC;Robot Entertainment;Rol;Masivo;Por determinar en Españ;0.0
633;Bamboo EP;Notable;7.0;PC;Sokpop Collectiv;Acción;;15 de diciembre de 2016;0.0
634;2 Days to Vegas;Notable;9.0;PC;Steel Monkey;Acción;;Por determinar en Españ;0.0
635;TinyKeep;Notable;8.2;PC;Phigam;Acción;1;29 de septiembre de 2014;0.0
636;Iron Fisticl;Notable;8.0;PC;Confused Pelican;Acción;Cooperativo;16 de septiembre de 2014;0.0
637;Hive Jump;Notable;0.0;PC;Graphite Lab;Acción;;1º trimestre de 2016;0.0
638;HassleHeart;Notable;9.0;PC;Santa Clara Gam;Acción;1;19 de febrero de 2015;0.0
639;Paperbound;Notable;6.4;PC;issident Logic;Acción;;Por determinar en Españ;0.0
640;Sam & Max : Episode 303;Notable;6.0;PC;Telltale Gam;Aventura;;22 de junio de 2010;0.0
641;Platypus;Notable;6.4;PC;Robot Entertainment;Acción;;Por determinar en Españ;0.0
642;Puzzle Kingd;Notable;5.7;PC;Infinite Interactiv;Otros;;3º cuarto de 2008;0.0
643;Videoball;Notable;1.0;PC;Action Button;Otros;1;12 de julio de 2016;0.0
644;They Bleed Pixels;Notable;9.9;PC;Spooky Squi;Acción;;Agosto de 2011;0.0
645;Jade Dynasty: Legacy;Notable;8.3;PC;Perfect W;Rol;Masivo;Por determinar en Españ;0.0
646;The Exiled;Notable;0.0;PC;Fairytale Distillery;Rol;Multijugador;Por determinar en Españ;0.0
647;Legi;Notable;5.5;PC;Sudokop;Rol;;Por determinar en Españ;0.0
648;Heroes;Notable;6.8;PC;UbiSoft;Acción;;Cancelad;0.0
649;Kyoto Wild;Notable;8.0;PC;Teddy Diefenbach;Acción;Multijugador;Por determinar en Españ;0.0
650;Insectoid;Notable;5.4;PC;Robot Entertainment;Acción;;Noviembre de 2009;0.0
651;Brico Party;Notable;6.0;PC;Freedom Factory Studi;Otros;;15 de marzo de 2010;0.0
652;Lumini;Notable;5.5;PC;Speelb;Otros;1;3 de septiembre de 2015;0.0
653;Wiz;Notable;9.7;PC;Tribute Gam;Rol;1;14 de marzo de 2012;0.0
654;Blood Magic: Time of Shadows;Notable;5.1;PC;1C;Rol;;2009;0.0
655;Forsaken Patrol;Notable;5.5;PC;Teyon;Acción;;2010;0.0
656;Legends of Persia;Notable;8.7;PC;Sourena Game Studi;Rol;;Por determinar en Españ;0.0
657;Utopia City;Notable;6.6;PC;Parallax Arts Studi;Acción;;2006;0.0
658;The Stargazers;Notable;6.5;PC;Lupiesoft;Aventura;1;4 de noviembre de 2016;0.0
659;Combat Zones: Special Forces;Notable;4.2;PC;City Interactiv;Acción;;Por determinar en España;0.0
660;State Machin;Notable;0.0;PC;Terry Cavanagh;Otros;1;2017;0.0
661;A Quiver of Crows;Notable;9.0;PC;Sheado.net;Acción;Cooperativo;3º cuarto de 2016;0.0
662;Destroy All Humans! 2;Notable;9.1;PC;Black Forest Gam;Acción;Cooperativo;30 de agosto de 2022;34.95
663;TRI: Of Friendship and Madness;Notable;9.2;PC;Rat King Entertainment;Aventura;1;9 de octubre de 2014;0.0
664;Two Worlds: The Temptation;Notable;6.4;PC;Reality Pump;Rol;;Cancelad;0.0
665;Cognition: Episode 3;Notable;9.3;PC;Phoenix Onlin;Aventura;1;16 de mayo de 2013;0.0
666;Broken Sea;Notable;7.7;PC;Neoc;Rol;;Por determinar en Españ;0.0
667;The Pit: Dog Eat Dog;Notable;7.1;PC;Freedom Factory Studi;Rol;;2011;0.0
668;Project Rap Rabbit;Notable;8.5;PC;NanaOn-Sh;Otros;;Agosto de 2018;0.0
669;Quake 3 Team Arena;Notable;9.7;PC;id Softw;Acción;;26 de enero de 2001;0.0
670;Fists of Fu;Notable;5.9;PC;Outspark;Rol;Masivo;2010;0.0
671;Heroes of Three Kingd;Notable;4.0;PC;Perfect W;Rol;;21 de julio de 2010;0.0
672;Riskers;Notable;0.0;PC;ShotX Studi;Acción;1;17 de octubre de 2017;0.0
673;Lovely Planet;Notable;8.8;PC;Gunstar Studi;Acción;1;31 de julio de 2014;0.0
674;Hector: Episode 2;Notable;7.7;PC;Straandloop;Aventura;1;25 de agosto de 2011;0.0
675;Swashbucklers: Blue & Grey;Notable;6.3;PC;Ak;Acción;;Segunda mitad de 2007;0.0
676;Millenium: A New Hop;Notable;5.6;PC;Aldorlea Gam;Rol;;21 de septiembre de 2009;0.0
677; Nom Galaxy;Notable;5.3;PC;Q-Gam;Acción;;23 de julio de 2015;0.0
678;Bit.Trip.Fat;Notable;8.0;PC;Gaijin;Acción;;12 de julio de 2013;0.0
679;Abyssal Zon;Notable;7.0;PC;L;Otros;Cooperativo;26 de enero de 2017;0.0
680;Legends of Daemonica;Notable;7.1;PC;RA Imag;Aventura;;Por determinar en Españ;0.0
681;Alt-Minds;Notable;9.0;PC;Lexis Numériqu;Aventura;1;9 de noviembre de 2012;0.0
682;Party of Sin;Notable;9.4;PC;Crankshaft Gam;Acción;Cooperativo;13 de diciembre de 2012;0.0
683;Sam & Max: Episode 302;Notable;5.2;PC;Telltale Gam;Aventura;1;18 de mayo de 2010;0.0
684;Hero: 108 Onlin;Notable;7.8;PC;Gamania Digit;Rol;Masivo;2011;0.0
685;Crysis 2: Decimation;Notable;9.2;PC;Crytek;Acción;Masivo;15 de junio de 2011;0.0
686;Wittard: Nemesis of Ragnarok;Notable;3.7;PC;Robot Entertainment;Aventura;;2010;0.0
687;Project E:st;Notable;7.5;PC;Polygon Gam;Rol;;Por determinar en Españ;0.0
688;Laxius Force II: The Queen of Adretana;Notable;5.7;PC;Indinera F;Rol;;Agosto de 2009;0.0
689;ancy Drew;Notable;6.0;PC;Her Interactiv;Aventura;;Por determinar en Españ;0.0
690;arco T;Notable;7.1;PC;Keen Gam;Acción;Cooperativo;30 de julio de 2013;0.0
691;Tribes: Vengeanc;Notable;6.5;PC;Robot Entertainment;Acción;;18 de octubre de 2004;0.0
692;The Missing;Notable;8.0;PC;White Ow;Acción;;Por determinar en Españ;0.0
693;Winter Voices Episode 3;Notable;9.7;PC;Beyond the Pi;Rol;;14 de marzo de 2011;0.0
694;Kaptain Braw;Notable;7.9;PC;Cateia Gam;Aventura;1;20 de enero de 2011;0.0
695;Paradig;Notable;8.0;PC;Jacob Janerk;Aventura;1;5 de abril de 2017;0.0
696;Kingdom Heroes;Notable;8.6;PC;Robot Entertainment;Rol;Masivo;2010;0.0
697;The Shopkeep;Notable;8.0;PC;Verse Publication;Aventura;1;23 de octubre de 2014;0.0
698;Dystoria;Notable;7.0;PC;Tri-Coastal Gam;Acción;1;21 de febrero de 2017;0.0
699;The Cat and the Coup;Notable;7.0;PC;Peter Brinson and Kurosh ValaNej;Aventura;1;15 de junio de 2011;0.0
700;Planets³;Notable;9.4;PC;Cubical Drift;Rol;;Por determinar en Españ;0.0
701;Hyper Bounce Blast;Notable;0.0;PC;Flump Studi;Acción;1;27 de mayo de 2016;0.0
702;Zuma’s Reveng;Notable;6.4;PC;PopCap;Otros;1;15 de septiembre de 2009;0.0
703;Emberwind;Notable;5.6;PC;TimeTrap;Acción;;9 de diciembre de 2009;0.0
704;Celetania;Notable;5.2;PC;Vulcando Gam;Rol;;1º trimestre de 2009;0.0
705;Call of Gods;Notable;9.0;PC;Boyojoy Network;Rol;;2011;0.0
706;Dragon Oath;Notable;5.9;PC;Robot Entertainment;Rol;Masivo;Por determinar en Españ;0.0
707;Magicka: Marshlands;Notable;8.6;PC;Arrowhead Game Studi;Rol;Multijugador;26 de mayo de 2011;0.0
708;.E.O Onlin;Notable;5.6;PC;SONOV;Rol;;Por determinar en Españ;0.0
709;Lime Odyssey;Notable;7.9;PC;Aeria Games & Entertainment;Rol;;Por determinar en Españ;0.0
710;Orcs Must Die! 2 - Fire & Wat;Notable;5.0;PC;Robot Entertainment;Acción;Cooperativo;2012;0.0
711;Dad Quest;Notable;8.5;PC;Sundae Month;Aventura;1;20 de octubre de 2016;0.0
712;Vive le Roi;Notable;0.0;PC;Sylvain Secci;Acción;1;14 de febrero de 2017;0.0
713;Ion Assault;Notable;9.4;PC;Black Inc.;Acción;;17 de noviembre de 2010;0.0
714;vy Soyuz;Notable;8.4;PC;Best Way;Acción;;Por determinar en Españ;0.0
715;Transformers: Massive Fury Pack;Notable;0.0;PC;High Moon Studi;Acción;Masivo;27 de septiembre de 2012;0.0
716;Last Inua: An Arctic Adventu;Notable;6.3;PC;Glowforth;Otros;1;11 de diciembre de 2014;0.0
717;Troy Onlin;Notable;9.3;PC;ALT1;Rol;Masivo;2011;0.0
718;DeathSpank: Thongs of Virtu;Notable;7.4;PC;Hothead Gam;Rol;Cooperativo;14 de diciembre de 2010;0.0
719;Louisiana: Mystery Cases;Notable;5.3;PC;Infinion;Aventura;;11 de septiembre de 2009;0.0
720;Hellion;Notable;6.1;PC;Flying Fish Work;Acción;;Por determinar en Españ;0.0
721;Guns and Robots;Notable;5.2;PC;Masth;Acción;;Por determinar en Españ;0.0
722;Monopoly Madness;Notable;7.2;PC;Desarrollador:Engine Softw;Otros;;9 de diciembre de 2021;0.0
723;Scoregas;Notable;5.5;PC;Charlie's Gam;Acción;;14 de octubre de 2011;0.0
724;Lost Orbit;Notable;7.5;PC;PixelNAUTS;Acción;1;12 de mayo de 2015;0.0
725;Trawl;Notable;0.0;PC;niel Gallagher y Nathan G;Aventura;1;13 de mayo de 2016;0.0
726;CodeSpells;Notable;0.0;PC;ThoughtSTEM;Acción;;3º trimestre de 2016;0.0
727;Last Half Darkness: Tomb of Zoji;Notable;7.8;PC;WRF Studi;Aventura;;Por determinar en Españ;0.0
728;Heist;Notable;6.6;PC;inXile entertainment;Acción;;Cancelado;46.95
729;Cargo3;Notable;7.9;PC;Vinci Gam;Acción;;4º trimestre de 2012;0.0
730;Dungeon Defenders: Eternia 1;Notable;7.0;PC;Trendy Entertainment;Acción;Multijugador;16 de diciembre de 2011;0.0
731;Knight Onlin;Notable;7.9;PC;MGam;Rol;Masivo;Por determinar en Españ;0.0
732;Gyromanc;Notable;6.0;PC;Robot Entertainment;Otros;;18 de noviembre de 2009;0.0
733;Hazen;Notable;6.2;PC;gger Gam;Rol;;Por determinar en Españ;0.0
734;Outcry;Notable;6.0;PC;Bits Studi;Aventura;;Por determinar en Españ;0.0
735;Grand Pigeon's Duty;Notable;1.0;PC;WolfgangIs y JoyKojim;Otros;1;30 de junio de 2016;0.0
736;King’s Quest III Redux;Notable;8.1;PC;AGD Interactiv;Aventura;;23 de febrero de 2011;0.0
737;Club Lif;Notable;9.0;PC;harker Studi;Aventura;1;13 de abril de 2016;0.0
738;Quadrant;Notable;7.0;PC;HKFiftyOne Gam;Acción;1;4º trimestre de 2015;0.0
739;CrimeCraft : BleedOut;Notable;7.6;PC;Vogst;Rol;Masivo;25 de agosto de 2009;0.0
740;Tentacles: Enter the Mind;Notable;9.5;PC;Press Play;Acción;;Por determinar en Españ;0.0
741;Section 8: Seek and Destroy;Notable;6.3;PC;TimeGate Studi;Acción;;20 de enero de 2010;0.0
742;Duke Nukem Forever: Icons Parody;Notable;6.5;PC;Gearbox;Acción;Masivo;11 de octubre de 2011;0.0
743;ED: The New Era of Fantasy;Notable;5.2;PC;Gunstar Studi;Rol;Masivo;2011;0.0
744;BattleSouls;Apreciable;0.0;PC;Pixeleap;Acción;Multijugador;12 de mayo de 2016;0.0
745;Cate West;Apreciable;5.4;PC;Robot Entertainment;Aventura;;2008;0.0
746;Divina;Apreciable;6.7;PC;Gamania Digit;Rol;Masivo;2012;0.0
747;Iron Grip: Warlord;Apreciable;6.0;PC;Isotx;Acción;;21 de noviembre de 2008;0.0
748;Stars of Barathru;Apreciable;9.7;PC;Valv;Acción;;Por determinar en Españ;0.0
749;Stellar Dawn;Apreciable;8.3;PC;Jagex;Rol;;2011;0.0
750;itu Love 2;Apreciable;3.0;PC;Konjak;Acción;;2009;0.0
751;Scarlet Legacy;Apreciable;7.4;PC;GamesCampu;Rol;Masivo;2011;0.0
752;Gunblade Saga;Apreciable;6.0;PC;Gunstar Studi;Rol;;2012;0.0
753;Cognition: Episode 2;Apreciable;9.7;PC;Phoenix Onlin;Aventura;1;30 de enero de 2013;0.0
754;City of Transformers;Apreciable;7.0;PC;tiny Development;Rol;;3º cuarto de 2011;0.0
755;Saint's Row: The Third – Packag;Apreciable;9.9;PC;Volition;Acción;Cooperativo;9 de noviembre de 2012;0.0
756;The Tower of Druaga;Apreciable;6.6;PC;Rosso Index;Rol;Masivo;22 de noviembre de 2010;0.0
757;Bright Shadow;Apreciable;5.0;PC;Gamania Digit;Rol;;11 de noviembre de 2009;0.0
758;Bulletstorm: Gun Sonata;Apreciable;8.0;PC;People Can Fly;Acción;Multijugador;20 de mayo de 2011;0.0
759;The Talos Principle - Road to Gehenna;Apreciable;8.9;PC;Croteam;Otros;1;23 de julio de 2015;0.0
760;Eekeemoo - Splinters of the Dark Shard;Apreciable;0.0;PC;Cogg Gam;Acción;1;14 de marzo de 2017;0.0
761;Eternal Blad;Apreciable;9.5;PC;Gala-Net;Rol;;Por determinar en Españ;0.0
762;Winter Voices Prologu;Apreciable;8.7;PC;Beyond the Pi;Rol;;29 de octubre de 2010;0.0
763;Avernum 2: Crystal Souls;Apreciable;9.7;PC;Spiderweb Softw;Rol;;2015;0.0
764;Lov;Apreciable;6.6;PC;Robot Entertainment;Aventura;;25 de marzo de 2010;0.0
765;Camon H;Apreciable;5.4;PC;Robot Entertainment;Rol;Masivo;Por determinar en Españ;0.0
766;Valdis Story: Abyssal City;Apreciable;8.7;PC;Endlessfluff;Acción;1;8 de septiembre de 2013;0.0
767;The I of the Dragon;Apreciable;6.6;PC;Robot Entertainment;Rol;;Por determinar en Españ;0.0
768;Gooka: Mystery of Janatris;Apreciable;6.5;PC;Robot Entertainment;Aventura;;9 de julio de 2004;0.0
769;RODE: Rise of Dragonian Era;Apreciable;4.2;PC;MGam;Rol;Masivo;9 de marzo de 2012;0.0
770;Zomg;Apreciable;6.0;PC;Robot Entertainment;Rol;;Noviembre de 2008;0.0
771;U-Wars;Apreciable;6.5;PC;BiArt Studi;Acción;;2010;0.0
772;Sulon Q;Apreciable;0.0;PC;AMD y Sulon;Otros;;2º trimestre de 2016;0.0
773;Rumble Fight;Apreciable;7.9;PC;Nimonix;Rol;;2009;0.0
774;Midnight Mysteries;Apreciable;7.5;PC;MumboJumb;Aventura;1;28 de septiembre de 2009;0.0
775;Boogerman 20th Anniversary;Apreciable;9.8;PC;Toy Ghost;Acción;;Por determinar en Españ;0.0
776;Lemma;Apreciable;5.8;PC;Evan T;Acción;1;12 de mayo de 2015;0.0
777;Torchlight MMO;Apreciable;9.4;PC;Runic Gam;Rol;;2013;0.0
778;DC Universe: The Battle for Earth;Apreciable;9.5;PC;Sony Online Entertainment;Rol;Masivo;2012;0.0
779;EverQuest: House of Thul;Apreciable;7.4;PC;Sony Online Entertainment;Rol;;12 de octubre de 2010;0.0
780;TerraWars: New York Invasion;Apreciable;6.5;PC;Ladyluck Digit;Acción;;Agosto de 2006;0.0
781;System Flaw;Apreciable;7.4;PC;Robot Entertainment;Acción;;2010;0.0
782;Project Gen;Apreciable;7.0;PC;NeuronHaz;Rol;Masivo;Por determinar en Españ;0.0
783;Earthris;Apreciable;6.1;PC;Masth;Rol;Masivo;Por determinar en España;0.0
784;Lucidity;Apreciable;5.8;PC;LucasArt;Acción;1;7 de octubre de 2009;0.0
785;Hidden Secrets: The Nightma;Apreciable;5.7;PC;Brighter Min;Aventura;;Noviembre de 2009;0.0
786;Bionic Heart;Apreciable;6.5;PC;Robot Entertainment;Aventura;;Por determinar en Españ;0.0
787;Hector: Episode 1;Apreciable;7.4;PC;Straandloop;Aventura;1;27 de abril de 2010;0.0
788;Bayou Island;Apreciable;0.0;PC;Andy Howard Gam;Aventura;1;28 de febrero de 2017;0.0
789;Dream Chronicles;Apreciable;9.4;PC;Playfirst;Aventura;;12 de agosto de 2009;0.0
790;Trauma;Apreciable;8.2;PC;Krystian Majewski;Aventura;1;8 de agosto de 2011;0.0
791;Dreamland Onlin;Apreciable;6.2;PC;IGG;Rol;;Por determinar en Españ;0.0
792;Elisa: the Innkeep;Apreciable;0.0;PC;Neoclassic Gam;Aventura;1;28 de marzo de 2017;0.0
793;Arson & Plund;Apreciable;5.0;PC;Headup Gam;Acción;;Por determinar en Españ;0.0
794;Dragon Knights;Apreciable;8.0;PC;Gunstar Studi;Rol;;Por determinar en Españ;0.0
795;A Boy and his Bl;Apreciable;6.8;PC;WayForw;Acción;;19 de enero de 2016;0.0
796;Chaos Cod;Apreciable;0.0;PC;FX Digit;Acción;Cooperativo;15 de marzo de 2017;0.0
797;ight Watch;Apreciable;6.4;PC;Nival Interactiv;Rol;;2006;0.0
798;Tree of Savi;Apreciable;9.5;PC;Imc Gam;Rol;;2013;0.0
799;Merchants of Kaidan;Apreciable;7.0;PC;Forever Entertainment;Aventura;1;Por determinar en Españ;0.0
800;Morningstar: Descent to Deadrock;Apreciable;7.2;PC;Red Herring;Aventura;1;17 de febrero de 2015;0.0
801;The Ship HD;Apreciable;8.0;PC;Blazing Griffin Ltd.;Acción;Masivo;31 de octubre de 2016;0.0
802;Flintlock: The Siege of Dawn;Apreciable;0.0;PC;A44 Gam;Rol;1;2022;0.0
803;Pet Forest;Apreciable;6.4;PC;Robot Entertainment;Rol;;2010;0.0
804;Chaos;Apreciable;0.0;PC;MAGES.INC.;Aventura;1;23 de enero de 2019;0.0
805;Rappelz;Apreciable;6.3;PC;gpotat;Rol;;2 de octubre de 2006;0.0
806;Wallace & Gromit Episodio 2;Apreciable;4.9;PC;Telltale Gam;Aventura;1;Mayo de 2009;0.0
807;Arabesqu;Apreciable;5.3;PC;Robot Entertainment;Aventura;;2009;0.0
808;Hamlet;Apreciable;8.2;PC;nis Galanin (mif2000);Otros;;8 de abril de 2010;0.0
809;100ft Robot Golf;Apreciable;0.0;PC;No Goblin;Deportes;Multijugador;16 de marzo de 2017;0.0
810;Meltdown;Apreciable;7.5;PC;Phenomenon Gam;Acción;;Por determinar en Españ;0.0
811;The Edge of Twilight - Episodio 1;Apreciable;8.9;PC;Fuzzyeyes Entertainment;Rol;;Diciembre de 2012;0.0
812;An Octonaut Odyssey;Apreciable;0.0;PC;Octo Studi;Acción;1;4 de marzo de 2017;0.0
813;Molemen Must Die!;Apreciable;0.0;PC;Mokomot;Acción;1;22 de marzo de 2017;0.0
814;Dead Sky;Apreciable;7.6;PC;Shorebound Studi;Acción;;Por determinar en Españ;0.0
815;Dark Shadows: Army of Evil;Apreciable;5.9;PC;Burian Media Enterpri;Rol;1;29 de noviembre de 2012;0.0
816;Testament of Sin;Apreciable;4.8;PC;City Interactiv;Aventura;;4º trimestre de 2008;0.0
817;A Rite from the Stars;Apreciable;9.8;PC;Risin Goat;Aventura;1;Por determinar en Españ;0.0
818;RAN Onlin;Apreciable;4.8;PC;E-Gam;Rol;;2006;0.0
819;404Sight;Apreciable;6.7;PC;Retro Yeti Gam;Acción;1;16 de abril de 2015;0.0
820;Super Rad Raygun;Apreciable;8.0;PC;TRU FUN Entertainment;Acción;1;8 de noviembre de 2016;0.0
821;Rosh Onlin;Apreciable;9.7;PC;Texyon Gam;Rol;Masivo;Por determinar en España;0.0
822;Block N Load;Apreciable;6.5;PC;Jagex;Acción;Masivo;30 de abril de 2015;0.0
823;The Endless Mission;Apreciable;5.5;PC;E-Line Medi;Acción;1;3º trimestre de 2018Juego con acceso anticipad;0.0
824;Whore of the Orient;Apreciable;9.1;PC;KMM Interactiv;Acción;;2015;0.0
825;Skara: The Blade Remains;Apreciable;9.6;PC;8-Bit Studi;Rol;;Por determinar en Españ;0.0
826;Human Element;Apreciable;8.8;PC;Robotoki;Acción;;Cancelad;0.0
827;Back to the Future: Episode 103;Apreciable;8.5;PC;Telltale Gam;Aventura;1;29 de marzo de 2011;0.0
828;Little Red Riding Hood;Apreciable;9.4;PC;Robot Entertainment;Acción;;Por determinar en Españ;0.0
829;Refug;Apreciable;9.0;PC;Fox Rog;Acción;;Por determinar en España;0.0
830;Call for Heroes: Pompolic Wars;Apreciable;6.3;PC;ta Design Interactiv;Rol;;Junio de 2007;0.0
831;Geon: Emotions;Apreciable;5.8;PC;Strawdog Studi;Otros;Multijugador;19 de septiembre de 2008;0.0
832;aissanceE;Apreciable;8.4;PC;Limasse Fiv;Aventura;1;14 de febrero de 2014;0.0
833;Angry Video Game Nerd;Apreciable;8.8;PC;FreakZone Gam;Acción;1;20 de septiembre de 2013;0.0
834;Runes of Magic: Chapter V;Apreciable;8.3;PC;Runewak;Rol;Masivo;12 de junio de 2012;0.0
835;Beatbuddy;Apreciable;7.6;PC;Threak;Acción;;6 de agosto de 2013;0.0
836;Surgeon Simulator: Anniversary Edition;Apreciable;6.3;PC;Bossa Studi;Otros;1;14 de agosto de 2014;0.0
837;ORION: Dino Hord;Apreciable;8.0;PC;Spiral Game Studi;Acción;;Por determinar en Españ;0.0
838;Ancients of Ooga;Apreciable;7.1;PC;NinjaB;Acción;Cooperativo;20 de mayo de 2011;0.0
839;Saint's Row: The Third - Bloodsuck;Apreciable;9.6;PC;Volition;Acción;;28 de febrero de 2012;0.0
